date_time_original,dt_key,dir_deg,speed,target_base,n_found,is_complete,is_missing,missing_suffixes,extra_suffixes,found_suffixes
2025-01-01T05:30:00Z,01-01-2025_0530,220.0,1.0,MDT_WN_Corredoria_Grado_point_220_0_01_0_01-01-2025_0530,6,True,False,,,_ang.asc;_ang.prj;_cld.asc;_cld.prj;_vel.asc;_vel.prj
2025-01-01T05:45:00Z,01-01-2025_0545,230.0,1.0,MDT_WN_Corredoria_Grado_point_230_0_01_0_01-01-2025_0545,6,True,False,,,_ang.asc;_ang.prj;_cld.asc;_cld.prj;_vel.asc;_vel.prj
2025-01-01T06:00:00Z,01-01-2025_0600,240.0,1.0,MDT_WN_Corredoria_Grado_point_240_0_01_0_01-01-2025_0600,6,True,False,,,_ang.asc;_ang.prj;_cld.asc;_cld.prj;_vel.asc;_vel.prj
2025-01-01T06:15:00Z,01-01-2025_0615,250.0,1.0,MDT_WN_Corredoria_Grado_point_250_0_01_0_01-01-2025_0615,6,True,False,,,_ang.asc;_ang.prj;_cld.asc;_cld.prj;_vel.asc;_vel.prj
2025-01-01T06:30:00Z,01-01-2025_0630,260.0,1.0,MDT_WN_Corredoria_Grado_point_260_0_01_0_01-01-2025_0630,6,True,False,,,_ang.asc;_ang.prj;_cld.asc;_cld.prj;_vel.asc;_vel.prj
2025-01-01T06:45:00Z,01-01-2025_0645,270.0,1.0,MDT_WN_Corredoria_Grado_point_270_0_01_0_01-01-2025_0645,6,True,False,,,_ang.asc;_ang.prj;_cld.asc;_cld.prj;_vel.asc;_vel.prj
2025-01-01T07:00:00Z,01-01-2025_0700,280.0,1.0,MDT_WN_Corredoria_Grado_point_280_0_01_0_01-01-2025_0700,6,True,False,,,_ang.asc;_ang.prj;_cld.asc;_cld.prj;_vel.asc;_vel.prj
2025-01-01T07:15:00Z,01-01-2025_0715,290.0,1.0,MDT_WN_Corredoria_Grado_point_290_0_01_0_01-01-2025_0715,6,True,False,,,_ang.asc;_ang.prj;_cld.asc;_cld.prj;_vel.asc;_vel.prj
2025-01-01T07:30:00Z,01-01-2025_0730,300.0,1.0,MDT_WN_Corredoria_Grado_point_300_0_01_0_01-01-2025_0730,6,True,False,,,_ang.asc;_ang.prj;_cld.asc;_cld.prj;_vel.asc;_vel.prj
2025-01-01T07:45:00Z,01-01-2025_0745,310.0,1.0,MDT_WN_Corredoria_Grado_point_310_0_01_0_01-01-2025_0745,6,True,False,,,_ang.asc;_ang.prj;_cld.asc;_cld.prj;_vel.asc;_vel.prj
2025-01-01T08:00:00Z,01-01-2025_0800,320.0,1.0,MDT_WN_Corredoria_Grado_point_320_0_01_0_01-01-2025_0800,6,True,False,,,_ang.asc;_ang.prj;_cld.asc;_cld.prj;_vel.asc;_vel.prj
2025-01-01T08:15:00Z,01-01-2025_0815,330.0,1.0,MDT_WN_Corredoria_Grado_point_330_0_01_0_01-01-2025_0815,6,True,False,,,_ang.asc;_ang.prj;_cld.asc;_cld.prj;_vel.asc;_vel.prj
2025-01-01T08:30:00Z,01-01-2025_0830,340.0,1.0,MDT_WN_Corredoria_Grado_point_340_0_01_0_01-01-2025_0830,6,True,False,,,_ang.asc;_ang.prj;_cld.asc;_cld.prj;_vel.asc;_vel.prj
2025-01-01T08:45:00Z,01-01-2025_0845,350.0,1.0,MDT_WN_Corredoria_Grado_point_350_0_01_0_01-01-2025_0845,6,True,False,,,_ang.asc;_ang.prj;_cld.asc;_cld.prj;_vel.asc;_vel.prj
